x,y,velocity,distance,curvature
0.0,0.0,3.05,0.0,0.0
-0.07499961966291992,2.3885229192013263E-4,3.05,0.075,0.0
-0.14999923932583983,4.7770458384026527E-4,3.05,0.15,0.0
-0.22499885898875976,7.165568757603979E-4,3.05,0.225,0.0
-0.29999847865167967,9.554091676805305E-4,3.05,0.3,1.9274607543496135E-17
-0.3749980983145996,0.0011942614596006631,3.05,0.375,3.8549215086992245E-17
-0.44999771797751953,0.0014331137515207959,3.05,0.44999999999999996,3.854921508699227E-17
-0.5249973376404394,0.0016719660434409284,3.05,0.5249999999999999,3.854921508699197E-17
-0.5999969573033593,0.001910818335361061,3.05,0.5999999999999999,3.854921508699247E-17
-0.6749965769662792,0.002149670627281194,3.05,0.6749999999999998,3.8549215086992066E-17
-0.7499961966291991,0.0023885229192013263,3.05,0.7499999999999998,7.709843017398533E-17
-0.8249958162921192,0.0026273752111214592,3.05,0.8249999999999998,0.0
-0.8999954359550391,0.0028662275030415917,3.05,0.8999999999999998,0.0
-0.974995055617959,0.0031050797949617242,3.05,0.9749999999999998,0.0
-1.0499946752808789,0.0033439320868818567,3.05,1.0499999999999998,0.0
-1.1249942949437988,0.0035827843788019892,3.05,1.1249999999999998,7.70984301739817E-17
-1.1999939146067187,0.003821636670722122,3.05,1.1999999999999997,7.70984301739888E-17
-1.2749935342696386,0.004060488962642255,3.05,1.2749999999999997,7.709843017398268E-17
-1.3499931539325585,0.004299341254562388,3.05,1.3499999999999996,0.0
-1.4249927735954784,0.00453819354648252,3.05,1.4249999999999996,0.0
-1.4999923932583983,0.004777045838402653,3.05,1.4999999999999996,0.0
-1.5749920129213182,0.005015898130322785,3.05,1.5749999999999995,1.5419686034796849E-16
-1.649991632584238,0.0052547504222429185,3.05,1.6499999999999995,1.5419686034796405E-16
-1.724991252247158,0.005493602714163051,3.05,1.7249999999999994,0.0
-1.7999908719100781,0.0057324550060831835,3.05,1.7999999999999996,0.0
-1.874990491572998,0.005971307298003316,3.05,1.8749999999999996,0.0
-1.949990111235918,0.0062101595899234485,3.05,1.9499999999999995,1.541968603479497E-16
-2.024989730898838,0.006449011881843581,3.05,2.025,3.0839372069594264E-16
-2.0999893505617577,0.0066878641737637134,3.05,2.0999999999999996,1.5419686034794216E-16
